arxiv_id,arxiv_version,title,authors,submitted_date,updated_date,primary_category,categories,relevance,relevance_confidence,decoder_family,decoder_name,missing_fields,paper_dir
2510.14060,v2,Decoding Correlated Errors in Quantum LDPC Codes,Arshpreet Singh Maan; Francisco-Garcia Herrero; Alexandru Paler; Valentin Savin,2025-10-15,2026-03-06,quant-ph,quant-ph,relevant,0.55,,,decoder.name; decoder.algorithm_outline; decoder.complexity_claims; performance_claims.thresholds; performance_claims.runtime_scaling_claims; simulations; links.code_repo_urls,/home/runner/work/decoders-review/decoders-review/data/papers/2510.14060
2603.05486,v1,Improved Decoding of Quantum Tanner Codes Using Generalized Check Nodes,Olai Å. Mostad; Eirik Rosnes; Hsuan-Yin Lin,2026-03-05,2026-03-05,quant-ph,quant-ph; cs.IT,maybe,0.35,,,decoder.name; decoder.algorithm_outline; decoder.complexity_claims; performance_claims.thresholds; performance_claims.runtime_scaling_claims; simulations; links.code_repo_urls,/home/runner/work/decoders-review/decoders-review/data/papers/2603.05486
2603.05320,v1,Simplified circuit-level decoding using Knill error correction,Ewan Murphy; Subhayan Sahu; Michael Vasmer,2026-03-05,2026-03-05,quant-ph,quant-ph,maybe,0.35,,,decoder.name; decoder.algorithm_outline; decoder.complexity_claims; performance_claims.thresholds; performance_claims.runtime_scaling_claims; simulations; links.code_repo_urls,/home/runner/work/decoders-review/decoders-review/data/papers/2603.05320
2603.04991,v1,On LLR Mismatch in Belief Propagation Decoding of Overcomplete QLDPC Codes,Hernan Cordova; Alexios Balatsoukas-Stimming; Gabriele Liga; Yunus Can Gültekin; Alex Alvarado,2026-03-05,2026-03-05,cs.IT,cs.IT,maybe,0.35,,,decoder.name; decoder.algorithm_outline; decoder.complexity_claims; performance_claims.thresholds; performance_claims.runtime_scaling_claims; simulations; links.code_repo_urls,/home/runner/work/decoders-review/decoders-review/data/papers/2603.04991
2603.04543,v1,Linear-Time Encodable and Decodable Quantum Error-Correcting Codes,Adam Wills; Ting-Chun Lin; Rachel Yun Zhang; Min-Hsiu Hsieh,2026-03-04,2026-03-04,quant-ph,quant-ph,relevant,0.55,,,decoder.name; decoder.algorithm_outline; decoder.complexity_claims; performance_claims.thresholds; performance_claims.runtime_scaling_claims; simulations; links.code_repo_urls,/home/runner/work/decoders-review/decoders-review/data/papers/2603.04543
2510.06495,v2,Qudit low-density parity-check codes,Daniel J. Spencer; Andrew Tanggara; Tobias Haug; Derek Khu; Kishor Bharti,2025-10-07,2026-03-03,quant-ph,quant-ph,maybe,0.35,,,decoder.name; decoder.algorithm_outline; decoder.complexity_claims; performance_claims.thresholds; performance_claims.runtime_scaling_claims; simulations; links.code_repo_urls,/home/runner/work/decoders-review/decoders-review/data/papers/2510.06495
2602.22770,v1,A matching decoder for bivariate bicycle codes,Kaavya Sahay; Dominic J. Williamson; Benjamin J. Brown,2026-02-26,2026-02-26,quant-ph,quant-ph,maybe,0.35,,,decoder.name; decoder.algorithm_outline; decoder.complexity_claims; performance_claims.thresholds; performance_claims.runtime_scaling_claims; simulations; links.code_repo_urls,/home/runner/work/decoders-review/decoders-review/data/papers/2602.22770
2602.16948,v1,Fault-tolerant interfaces for quantum LDPC codes,Matthias Christandl; Omar Fawzi; Ashutosh Goswami,2026-02-18,2026-02-18,quant-ph,quant-ph,maybe,0.35,,,decoder.name; decoder.algorithm_outline; decoder.complexity_claims; performance_claims.thresholds; performance_claims.runtime_scaling_claims; simulations; links.code_repo_urls,/home/runner/work/decoders-review/decoders-review/data/papers/2602.16948
2510.07179,v2,Diffusion Codes: Self-Correction from Small(er)-Set Expansion with Tunable Non-locality,Adithya Sriram; Vedika Khemani; Benedikt Placke,2025-10-08,2026-02-18,quant-ph,quant-ph; cond-mat.dis-nn; cond-mat.stat-mech; cs.IT; math.CO,relevant,0.55,,,decoder.name; decoder.algorithm_outline; decoder.complexity_claims; performance_claims.thresholds; performance_claims.runtime_scaling_claims; simulations; links.code_repo_urls,/home/runner/work/decoders-review/decoders-review/data/papers/2510.07179
2602.13420,v1,Sequential BP-based Decoding of QLDPC Codes,Mohsen Moradi; Salman Habib; Vahid Nourozi; David G. M. Mitchell,2026-02-13,2026-02-13,cs.IT,cs.IT,maybe,0.35,,,decoder.name; decoder.algorithm_outline; decoder.complexity_claims; performance_claims.thresholds; performance_claims.runtime_scaling_claims; simulations; links.code_repo_urls,/home/runner/work/decoders-review/decoders-review/data/papers/2602.13420
2507.00254,v3,Fully Parallelized BP Decoding for Quantum LDPC Codes Can Outperform BP-OSD,Ming Wang; Ang Li; Frank Mueller,2025-06-30,2026-02-10,quant-ph,quant-ph; cs.IT,relevant,0.55,,,decoder.name; decoder.algorithm_outline; decoder.complexity_claims; performance_claims.thresholds; performance_claims.runtime_scaling_claims; simulations; links.code_repo_urls,/home/runner/work/decoders-review/decoders-review/data/papers/2507.00254
2602.07578,v1,BiBiEQ: Bivariate Bicycle Codes on Erasure Qubits,Ameya S. Bhave; Navnil Choudhury; Andrew Nemec; Kanad Basu,2026-02-07,2026-02-07,quant-ph,quant-ph,maybe,0.35,,,decoder.name; decoder.algorithm_outline; decoder.complexity_claims; performance_claims.thresholds; performance_claims.runtime_scaling_claims; simulations; links.code_repo_urls,/home/runner/work/decoders-review/decoders-review/data/papers/2602.07578
2508.08191,v2,Single-Shot Decoding and Fault-tolerant Gates with Trivariate Tricycle Codes,Abraham Jacob; Campbell McLauchlan; Dan E. Browne,2025-08-11,2026-01-29,quant-ph,quant-ph,maybe,0.35,,,decoder.name; decoder.algorithm_outline; decoder.complexity_claims; performance_claims.thresholds; performance_claims.runtime_scaling_claims; simulations; links.code_repo_urls,/home/runner/work/decoders-review/decoders-review/data/papers/2508.08191
2601.18562,v1,Bayesian Optimization for Quantum Error-Correcting Code Discovery,Yihua Chengyu; Richard Meister; Conor Carty; Sheng-Ku Lin; Roberto Bondesan,2026-01-26,2026-01-26,quant-ph,quant-ph,relevant,0.55,,,decoder.name; decoder.algorithm_outline; decoder.complexity_claims; performance_claims.thresholds; performance_claims.runtime_scaling_claims; simulations; links.code_repo_urls,/home/runner/work/decoders-review/decoders-review/data/papers/2601.18562
2601.08387,v2,An Efficient Algorithm to Sample Quantum Low-Density Parity-Check Codes,Paolo Santini,2026-01-13,2026-01-26,cs.IT,cs.IT,maybe,0.35,,,decoder.name; decoder.algorithm_outline; decoder.complexity_claims; performance_claims.thresholds; performance_claims.runtime_scaling_claims; simulations; links.code_repo_urls,/home/runner/work/decoders-review/decoders-review/data/papers/2601.08387
2511.21660,v2,FPGA-tailored algorithms for real-time decoding of quantum LDPC codes,Satvik Maurya; Thilo Maurer; Markus Bühler; Drew Vandeth; Michael E. Beverland,2025-11-26,2026-01-26,quant-ph,quant-ph,maybe,0.35,,,decoder.name; decoder.algorithm_outline; decoder.complexity_claims; performance_claims.thresholds; performance_claims.runtime_scaling_claims; simulations; links.code_repo_urls,/home/runner/work/decoders-review/decoders-review/data/papers/2511.21660
2510.05795,v4,Efficient Post-Selection for General Quantum LDPC Codes,Seok-Hyung Lee; Lucas H. English; Stephen D. Bartlett,2025-10-07,2026-01-25,quant-ph,quant-ph,maybe,0.35,,,decoder.name; decoder.algorithm_outline; decoder.complexity_claims; performance_claims.thresholds; performance_claims.runtime_scaling_claims; simulations; links.code_repo_urls,/home/runner/work/decoders-review/decoders-review/data/papers/2510.05795
2601.14236,v1,Stabilizer-Assisted Inactivation Decoding of Quantum Error-Correcting Codes with Erasures,Giulio Pech; Mert Gökduman; Hanwen Yao; Henry D. Pfister,2026-01-20,2026-01-20,cs.IT,cs.IT,maybe,0.35,,,decoder.name; decoder.algorithm_outline; decoder.complexity_claims; performance_claims.thresholds; performance_claims.runtime_scaling_claims; simulations; links.code_repo_urls,/home/runner/work/decoders-review/decoders-review/data/papers/2601.14236
2601.08824,v3,Breaking the Orthogonality Barrier in Quantum LDPC Codes,Kenta Kasai,2026-01-13,2026-01-20,quant-ph,quant-ph; cs.IT,relevant,0.55,,,decoder.name; decoder.algorithm_outline; decoder.complexity_claims; performance_claims.thresholds; performance_claims.runtime_scaling_claims; simulations; links.code_repo_urls,/home/runner/work/decoders-review/decoders-review/data/papers/2601.08824
2601.10713,v1,Quantum Maxwell Erasure Decoder for qLDPC codes,Bruno Costa Alves Freire; François-Marie Le Régent; Anthony Leverrier,2026-01-15,2026-01-15,quant-ph,quant-ph; cs.IT,maybe,0.35,,,decoder.name; decoder.algorithm_outline; decoder.complexity_claims; performance_claims.thresholds; performance_claims.runtime_scaling_claims; simulations; links.code_repo_urls,/home/runner/work/decoders-review/decoders-review/data/papers/2601.10713
2601.09911,v1,Time-Dynamic Circuits for Fault-Tolerant Shift Automorphisms in Quantum LDPC Codes,Younghun Kim; Spiro Gicev; Martin Sevior; Muhammad Usman,2026-01-14,2026-01-14,quant-ph,quant-ph,maybe,0.35,,,decoder.name; decoder.algorithm_outline; decoder.complexity_claims; performance_claims.thresholds; performance_claims.runtime_scaling_claims; simulations; links.code_repo_urls,/home/runner/work/decoders-review/decoders-review/data/papers/2601.09911
2601.08636,v1,Quantum CSS LDPC Codes based on Dyadic Matrices for Belief Propagation-based Decoding,Alessio Baldelli; Massimo Battaglioni; Jonathan Mandelbaum; Sisi Miao; Laurent Schmalen,2026-01-13,2026-01-13,cs.IT,cs.IT; quant-ph,relevant,0.55,,,decoder.name; decoder.algorithm_outline; decoder.complexity_claims; performance_claims.thresholds; performance_claims.runtime_scaling_claims; simulations; links.code_repo_urls,/home/runner/work/decoders-review/decoders-review/data/papers/2601.08636
2410.01197,v2,Informed Dynamic Scheduling for QLDPC Codes,Tzu-Hsuan Huang; Yeong-Luh Ueng,2024-10-02,2026-01-11,quant-ph,quant-ph,maybe,0.35,,,decoder.name; decoder.algorithm_outline; decoder.complexity_claims; performance_claims.thresholds; performance_claims.runtime_scaling_claims; simulations; links.code_repo_urls,/home/runner/work/decoders-review/decoders-review/data/papers/2410.01197
2601.01137,v1,Single-Shot and Few-Shot Decoding via Stabilizer Redundancy in Bivariate Bicycle Codes,Mohammad Rowshan,2026-01-03,2026-01-03,cs.IT,cs.IT; quant-ph,relevant,0.55,,,decoder.name; decoder.algorithm_outline; decoder.complexity_claims; performance_claims.thresholds; performance_claims.runtime_scaling_claims; simulations; links.code_repo_urls,/home/runner/work/decoders-review/decoders-review/data/papers/2601.01137
2512.21922,v2,Poincaré Duality and Multiplicative Structures on Quantum Codes,Yiming Li; Zimu Li; Zi-Wen Liu; Quynh T. Nguyen,2025-12-26,2025-12-30,quant-ph,quant-ph; cs.CC; cs.IT; math-ph,relevant,0.55,,,decoder.name; decoder.algorithm_outline; decoder.complexity_claims; performance_claims.thresholds; performance_claims.runtime_scaling_claims; simulations; links.code_repo_urls,/home/runner/work/decoders-review/decoders-review/data/papers/2512.21922
2512.18273,v1,Evolutionary BP+OSD Decoding for Low-Latency Quantum Error Correction,Hee-Youl Kwak; Seong-Joon Park; Hyunwoo Jung; Jeongseok Ha; Jae-Won Kim,2025-12-20,2025-12-20,quant-ph,quant-ph; cs.AI,maybe,0.35,,,decoder.name; decoder.algorithm_outline; decoder.complexity_claims; performance_claims.thresholds; performance_claims.runtime_scaling_claims; simulations; links.code_repo_urls,/home/runner/work/decoders-review/decoders-review/data/papers/2512.18273
2512.15063,v1,Bosonic quantum computing with near-term devices and beyond,Timo Hillmann,2025-12-17,2025-12-17,quant-ph,quant-ph,relevant,0.55,,,decoder.name; decoder.algorithm_outline; decoder.complexity_claims; performance_claims.thresholds; performance_claims.runtime_scaling_claims; simulations; links.code_repo_urls,/home/runner/work/decoders-review/decoders-review/data/papers/2512.15063
2512.07057,v2,Beam search decoder for quantum LDPC codes,Min Ye; Dave Wecker; Nicolas Delfosse,2025-12-08,2025-12-17,quant-ph,quant-ph; cs.IT,relevant,0.55,,,decoder.name; decoder.algorithm_outline; decoder.complexity_claims; performance_claims.thresholds; performance_claims.runtime_scaling_claims; simulations; links.code_repo_urls,/home/runner/work/decoders-review/decoders-review/data/papers/2512.07057
2504.02673,v2,QUITS: A modular Qldpc code circUIT Simulator,Mingyu Kang; Yingjia Lin; Hanwen Yao; Mert Gökduman; Arianna Meinking; Kenneth R. Brown,2025-04-03,2025-12-01,quant-ph,quant-ph,maybe,0.35,,,decoder.name; decoder.algorithm_outline; decoder.complexity_claims; performance_claims.thresholds; performance_claims.runtime_scaling_claims; simulations; links.code_repo_urls,/home/runner/work/decoders-review/decoders-review/data/papers/2504.02673
2506.19219,v3,Improved energy barrier in higher-dimensional hypergraph product codes,Guangqi Zhao,2025-06-24,2025-11-26,quant-ph,quant-ph,maybe,0.35,,,decoder.name; decoder.algorithm_outline; decoder.complexity_claims; performance_claims.thresholds; performance_claims.runtime_scaling_claims; simulations; links.code_repo_urls,/home/runner/work/decoders-review/decoders-review/data/papers/2506.19219
2511.15177,v1,Fail fast: techniques to probe rare events in quantum error correction,Michael E. Beverland; Malcolm Carroll; Andrew W. Cross; Theodore J. Yoder,2025-11-19,2025-11-19,quant-ph,quant-ph,maybe,0.35,,,decoder.name; decoder.algorithm_outline; decoder.complexity_claims; performance_claims.thresholds; performance_claims.runtime_scaling_claims; simulations; links.code_repo_urls,/home/runner/work/decoders-review/decoders-review/data/papers/2511.15177
2511.13281,v1,Restart Belief: A General Quantum LDPC Decoder,Lorenzo Valentini; Diego Forlivesi; Andrea Talarico; Marco Chiani,2025-11-17,2025-11-17,quant-ph,quant-ph; cs.IT,maybe,0.35,,,decoder.name; decoder.algorithm_outline; decoder.complexity_claims; performance_claims.thresholds; performance_claims.runtime_scaling_claims; simulations; links.code_repo_urls,/home/runner/work/decoders-review/decoders-review/data/papers/2511.13281
2508.05095,v3,Explicit Instances of Quantum Tanner Codes,Rebecca Katharina Radebold; Stephen D. Bartlett; Andrew C. Doherty,2025-08-07,2025-11-14,quant-ph,quant-ph,maybe,0.35,,,decoder.name; decoder.algorithm_outline; decoder.complexity_claims; performance_claims.thresholds; performance_claims.runtime_scaling_claims; simulations; links.code_repo_urls,/home/runner/work/decoders-review/decoders-review/data/papers/2508.05095
2511.04634,v1,Random Construction of Quantum LDPC Codes,Koki Okada; Kenta Kasai,2025-11-06,2025-11-06,quant-ph,quant-ph; cs.IT,relevant,0.55,,,decoder.name; decoder.algorithm_outline; decoder.complexity_claims; performance_claims.thresholds; performance_claims.runtime_scaling_claims; simulations; links.code_repo_urls,/home/runner/work/decoders-review/decoders-review/data/papers/2511.04634
2511.02951,v1,List Decoding and New Bicycle Code Constructions for Quantum LDPC Codes,Sheida Rabeti; Hessam Mahdavifar,2025-11-04,2025-11-04,cs.IT,cs.IT,maybe,0.35,,,decoder.name; decoder.algorithm_outline; decoder.complexity_claims; performance_claims.thresholds; performance_claims.runtime_scaling_claims; simulations; links.code_repo_urls,/home/runner/work/decoders-review/decoders-review/data/papers/2511.02951
2511.01741,v1,HyperNQ: A Hypergraph Neural Network Decoder for Quantum LDPC Codes,Ameya S. Bhave; Navnil Choudhury; Kanad Basu,2025-11-03,2025-11-03,cs.LG,cs.LG; cs.IT; quant-ph,maybe,0.35,,,decoder.name; decoder.algorithm_outline; decoder.complexity_claims; performance_claims.thresholds; performance_claims.runtime_scaling_claims; simulations; links.code_repo_urls,/home/runner/work/decoders-review/decoders-review/data/papers/2511.01741
2501.07363,v2,Entanglement-Assisted Quantum Quasi-Cyclic LDPC Codes with Transversal Logical Operators,Pavan Kumar; Abhi Kumar Sharma; Shayan Srinivasa Garani,2025-01-13,2025-11-03,cs.IT,cs.IT,relevant,0.55,,,decoder.name; decoder.algorithm_outline; decoder.complexity_claims; performance_claims.thresholds; performance_claims.runtime_scaling_claims; simulations; links.code_repo_urls,/home/runner/work/decoders-review/decoders-review/data/papers/2501.07363
2510.21600,v1,Real-time decoding of the gross code memory with FPGAs,Thilo Maurer; Markus Bühler; Michael Kröner; Frank Haverkamp; Tristan Müller; Drew Vandeth; Blake R. Johnson,2025-10-24,2025-10-24,quant-ph,quant-ph,maybe,0.35,,,decoder.name; decoder.algorithm_outline; decoder.complexity_claims; performance_claims.thresholds; performance_claims.runtime_scaling_claims; simulations; links.code_repo_urls,/home/runner/work/decoders-review/decoders-review/data/papers/2510.21600
2510.14090,v1,Quantum Low-Density Parity-Check Codes,Bane Vasic; Valentin Savin; Michele Pacenti; Shantom Borah; Nithin Raveendran,2025-10-15,2025-10-15,quant-ph,quant-ph; cs.IT,maybe,0.35,,,decoder.name; decoder.algorithm_outline; decoder.complexity_claims; performance_claims.thresholds; performance_claims.runtime_scaling_claims; simulations; links.code_repo_urls,/home/runner/work/decoders-review/decoders-review/data/papers/2510.14090
2510.08695,v1,Degeneracy Cutting: A Local and Efficient Post-Processing for Belief Propagation Decoding of Quantum Low-Density Parity-Check Codes,Kento Tsubouchi; Hayata Yamasaki; Shiro Tamiya,2025-10-09,2025-10-09,quant-ph,quant-ph,maybe,0.35,,,decoder.name; decoder.algorithm_outline; decoder.complexity_claims; performance_claims.thresholds; performance_claims.runtime_scaling_claims; simulations; links.code_repo_urls,/home/runner/work/decoders-review/decoders-review/data/papers/2510.08695
2510.07602,v1,Noisy-Syndrome Decoding of Hypergraph Product Codes,Venkata Gandikota; Elena Grigorescu; Vatsal Jha; S. Venkitesh,2025-10-08,2025-10-08,quant-ph,quant-ph,maybe,0.35,,,decoder.name; decoder.algorithm_outline; decoder.complexity_claims; performance_claims.thresholds; performance_claims.runtime_scaling_claims; simulations; links.code_repo_urls,/home/runner/work/decoders-review/decoders-review/data/papers/2510.07602
2510.06760,v1,Constant-Overhead Addressable Gates via Single-Shot Code Switching,Louis Golowich; Kathleen Chang; Guanyu Zhu,2025-10-08,2025-10-08,quant-ph,quant-ph; cs.IT,relevant,0.55,,,decoder.name; decoder.algorithm_outline; decoder.complexity_claims; performance_claims.thresholds; performance_claims.runtime_scaling_claims; simulations; links.code_repo_urls,/home/runner/work/decoders-review/decoders-review/data/papers/2510.06760
2508.04969,v2,Minimum-Weight Parity Factor Decoder for Quantum Error Correction,Yue Wu; Binghong Li; Kathleen Chang; Shruti Puri; Lin Zhong,2025-08-07,2025-10-02,quant-ph,quant-ph; cs.DS,maybe,0.35,,,decoder.name; decoder.algorithm_outline; decoder.complexity_claims; performance_claims.thresholds; performance_claims.runtime_scaling_claims; simulations; links.code_repo_urls,/home/runner/work/decoders-review/decoders-review/data/papers/2508.04969
2509.22347,v1,Decoding quantum low density parity check codes with diffusion,Zejun Liu; Anqi Gong; Bryan K. Clark,2025-09-26,2025-09-26,quant-ph,quant-ph,maybe,0.35,,,decoder.name; decoder.algorithm_outline; decoder.complexity_claims; performance_claims.thresholds; performance_claims.runtime_scaling_claims; simulations; links.code_repo_urls,/home/runner/work/decoders-review/decoders-review/data/papers/2509.22347
2509.06316,v1,Single-Shot Decoding of Biased-Tailored Quantum LDPC Codes,Devon Campbell,2025-09-08,2025-09-08,quant-ph,quant-ph; cs.IT,maybe,0.35,,,decoder.name; decoder.algorithm_outline; decoder.complexity_claims; performance_claims.thresholds; performance_claims.runtime_scaling_claims; simulations; links.code_repo_urls,/home/runner/work/decoders-review/decoders-review/data/papers/2509.06316
2412.21171,v4,Quantum Error Correction near the Coding Theoretical Bound,Daiki Komoto; Kenta Kasai,2024-12-30,2025-09-08,quant-ph,quant-ph; cs.IT,relevant,0.55,,,decoder.name; decoder.algorithm_outline; decoder.complexity_claims; performance_claims.thresholds; performance_claims.runtime_scaling_claims; simulations; links.code_repo_urls,/home/runner/work/decoders-review/decoders-review/data/papers/2412.21171
2406.18655,v2,Localized statistics decoding for quantum low-density parity-check codes,Timo Hillmann; Lucas Berent; Armanda O. Quintavalle; Jens Eisert; Robert Wille; Joschka Roffe,2024-06-26,2025-09-05,quant-ph,quant-ph; cs.IT,maybe,0.35,,,decoder.name; decoder.algorithm_outline; decoder.complexity_claims; performance_claims.thresholds; performance_claims.runtime_scaling_claims; simulations; links.code_repo_urls,/home/runner/work/decoders-review/decoders-review/data/papers/2406.18655
2509.01892,v1,Accelerating BP-OSD Decoder for QLDPC Codes with Local Syndrome-Based Preprocessing,Wenxuan Fan; Yasunari Suzuki; Gokul Subramanian Ravi; Yosuke Ueno; Koji Inoue; Teruo Tanimoto,2025-09-02,2025-09-02,quant-ph,quant-ph,maybe,0.35,,,decoder.name; decoder.algorithm_outline; decoder.complexity_claims; performance_claims.thresholds; performance_claims.runtime_scaling_claims; simulations; links.code_repo_urls,/home/runner/work/decoders-review/decoders-review/data/papers/2509.01892
2506.16910,v2,Abelian multi-cycle codes for single-shot error correction,Hsiang-Ku Lin; Pak Kau Lim; Alexey A. Kovalev; Leonid P. Pryadko,2025-06-20,2025-08-26,quant-ph,quant-ph,maybe,0.35,,,decoder.name; decoder.algorithm_outline; decoder.complexity_claims; performance_claims.thresholds; performance_claims.runtime_scaling_claims; simulations; links.code_repo_urls,/home/runner/work/decoders-review/decoders-review/data/papers/2506.16910
2508.07879,v1,GPU-Accelerated Syndrome Decoding for Quantum LDPC Codes below the 63 $μ$s Latency Threshold,Oscar Ferraz; Bruno Coutinho; Gabriel Falcao; Marco Gomes; Francisco A. Monteiro; Vitor Silva,2025-08-11,2025-08-11,quant-ph,quant-ph; cs.DC,maybe,0.35,,,decoder.name; decoder.algorithm_outline; decoder.complexity_claims; performance_claims.thresholds; performance_claims.runtime_scaling_claims; simulations; links.code_repo_urls,/home/runner/work/decoders-review/decoders-review/data/papers/2508.07879
2508.04769,v1,Power and Limitations of Linear Programming Decoder for Quantum LDPC Codes,Shouzhen Gu; Mehdi Soleimanifar,2025-08-06,2025-08-06,quant-ph,quant-ph; cs.IT,relevant,0.55,,,decoder.name; decoder.algorithm_outline; decoder.complexity_claims; performance_claims.thresholds; performance_claims.runtime_scaling_claims; simulations; links.code_repo_urls,/home/runner/work/decoders-review/decoders-review/data/papers/2508.04769
2409.01440,v2,An almost-linear time decoding algorithm for quantum LDPC codes under circuit-level noise,Antonio deMarti iOlius; Imanol Etxezarreta Martinez; Joschka Roffe; Josu Etxezarreta Martinez,2024-09-02,2025-08-05,quant-ph,quant-ph,maybe,0.35,,,decoder.name; decoder.algorithm_outline; decoder.complexity_claims; performance_claims.thresholds; performance_claims.runtime_scaling_claims; simulations; links.code_repo_urls,/home/runner/work/decoders-review/decoders-review/data/papers/2409.01440
2507.11534,v2,Sharp Error-Rate Transitions in Quantum QC-LDPC Codes under Joint BP Decoding,Daiki Komoto; Kenta Kasai,2025-07-15,2025-07-16,quant-ph,quant-ph; cs.IT,relevant,0.55,,,decoder.name; decoder.algorithm_outline; decoder.complexity_claims; performance_claims.thresholds; performance_claims.runtime_scaling_claims; simulations; links.code_repo_urls,/home/runner/work/decoders-review/decoders-review/data/papers/2507.11534
